wordform,fst_analyses
dakaagamig,"['dakaagamin+VII+Cnj+Pos+Neu+0SgSubj', 'dakaagami+VII+Cnj+Pos+Neu+0SgSubj', 'dakaagamin+VII+Cnj+Pos+Neu+0PlSubj', 'dakaagami+VII+Cnj+Pos+Neu+0PlSubj']"
inamog,"['amwi+VTA+Ind+Pos+Neu+3SgProxSubj+1SgObj', 'amo+VTA+Ind+Pos+Neu+3SgProxSubj+1SgObj', 'inamon+VII+Cnj+Pos+Neu+0SgSubj', 'inamo+VII+Cnj+Pos+Neu+0SgSubj', 'inamon+VII+Cnj+Pos+Neu+0PlSubj', 'inamo+VII+Cnj+Pos+Neu+0PlSubj']"
ateg,"['ate+VII+Cnj+Pos+Neu+0SgSubj', 'ate+VII+Cnj+Pos+Neu+0PlSubj']"
gonzaabiig,"['gonzaabii+VAI+Imp+Sim+2PlSubj', 'gonzaabii+VII+Cnj+Pos+Neu+0SgSubj', 'gonzaabii+VII+Cnj+Pos+Neu+0PlSubj']"
michaag,"['michaa+VII+Cnj+Pos+Neu+0SgSubj', 'michaa+VII+Cnj+Pos+Neu+0PlSubj']"
atemagasininigiban,"['ate+VII+Aug/magad+VII+Cnj+Neg+Prt+0PlObvSubj', 'atemagad+VII+Cnj+Neg+Prt+0PlObvSubj', 'ate+VII+Aug/magad+VII+Cnj+Neg+Prt+0SgObvSubj', 'atemagad+VII+Cnj+Neg+Prt+0SgObvSubj']"
zanagasininigiban,"['zanagad+VII+Cnj+Neg+Prt+0PlObvSubj', 'zanagad+VII+Cnj+Neg+Prt+0SgObvSubj']"
bangisinzininigiban,"['bangisin+VII+Cnj+Neg+Prt+0PlObvSubj', 'bangisin+VII+Cnj+Neg+Prt+0SgObvSubj']"
dakaagamisininigiban,"['dakaagamisin+VII+Cnj+Pos+Prt+0PlObvSubj', 'dakaagamisin+VII+Cnj+Pos+Prt+0SgObvSubj']"
atesininigiban,"['ate+VII+Cnj+Neg+Prt+0PlObvSubj', 'ate+VII+Cnj+Neg+Prt+0SgObvSubj']"
gonzaabiisininigiban,"['gonzaabii+VII+Cnj+Neg+Prt+0PlObvSubj', 'gonzaabii+VII+Cnj+Neg+Prt+0SgObvSubj']"
michaasininigiban,"['michaa+VII+Cnj+Neg+Prt+0PlObvSubj', 'michaa+VII+Cnj+Neg+Prt+0SgObvSubj']"
atemagasinoogiban,"['ate+VII+Aug/magad+VII+Cnj+Neg+Prt+0PlSubj', 'atemagad+VII+Cnj+Neg+Prt+0PlSubj', 'ate+VII+Aug/magad+VII+Cnj+Neg+Prt+0SgSubj', 'atemagad+VII+Cnj+Neg+Prt+0SgSubj']"
zanagasinoogiban,"['zanagad+VII+Cnj+Neg+Prt+0PlSubj', 'zanagad+VII+Cnj+Neg+Prt+0SgSubj']"
bangisinzinoogiban,"['bangisin+VII+Cnj+Neg+Prt+0PlSubj', 'bangisin+VII+Cnj+Neg+Prt+0SgSubj']"
atesinoogiban,"['ate+VII+Cnj+Neg+Prt+0PlSubj', 'ate+VII+Cnj+Neg+Prt+0SgSubj']"
gonzaabiisinoogiban,"['gonzaabii+VII+Cnj+Neg+Prt+0PlSubj', 'gonzaabii+VII+Cnj+Neg+Prt+0SgSubj']"
michaasinoogiban,"['michaa+VII+Cnj+Neg+Prt+0PlSubj', 'michaa+VII+Cnj+Neg+Prt+0SgSubj']"
atemagadininigiban,"['ate+VII+Aug/magad+VII+Cnj+Pos+Prt+0PlObvSubj', 'atemagad+VII+Cnj+Pos+Prt+0PlObvSubj']"
atemagakiban,"['ate+VII+Aug/magad+VII+Cnj+Pos+Prt+0PlSubj', 'atemagad+VII+Cnj+Pos+Prt+0PlSubj', 'ate+VII+Aug/magad+VII+Cnj+Pos+Prt+0SgSubj', 'atemagad+VII+Cnj+Pos+Prt+0SgSubj']"
zanagakiban,"['zanagad+VII+Cnj+Pos+Prt+0PlSubj', 'zanagad+VII+Cnj+Pos+Prt+0SgSubj']"
bangisingiban,"['bangisin+VII+Cnj+Pos+Prt+0PlSubj', 'bangisin+VII+Cnj+Pos+Prt+0SgSubj']"
ategiban,"['ate+VII+Cnj+Pos+Prt+0PlSubj', 'ate+VII+Cnj+Pos+Prt+0SgSubj']"
gonzaabiigiban,"['gonzaabii+VII+Cnj+Pos+Prt+0PlSubj', 'gonzaabii+VII+Cnj+Pos+Prt+0SgSubj']"
michaagiban,"['michaa+VII+Cnj+Pos+Prt+0PlSubj', 'michaa+VII+Cnj+Pos+Prt+0SgSubj']"
atemagadinigiban,"['ate+VII+Aug/magad+VII+Cnj+Pos+Prt+0PlObvSubj', 'atemagad+VII+Cnj+Pos+Prt+0PlObvSubj', 'ate+VII+Aug/magad+VII+Cnj+Pos+Prt+0SgObvSubj', 'atemagad+VII+Cnj+Pos+Prt+0SgObvSubj']"
zanagadinigiban,"['zanagad+VII+Cnj+Pos+Prt+0PlObvSubj', 'zanagad+VII+Cnj+Pos+Prt+0SgObvSubj']"
bangisininigiban,"['bangisin+VII+Cnj+Pos+Prt+0PlObvSubj', 'bangisin+VII+Cnj+Pos+Prt+0SgObvSubj']"
atenigiban,"['ate+VII+Cnj+Pos+Prt+0PlObvSubj', 'ate+VII+Cnj+Pos+Prt+0SgObvSubj']"
gonzaabiinigiban,"['gonzaabii+VII+Cnj+Pos+Prt+0PlObvSubj', 'gonzaabii+VII+Cnj+Pos+Prt+0SgObvSubj']"
michaanigiban,"['michaa+VII+Cnj+Pos+Prt+0PlObvSubj', 'michaa+VII+Cnj+Pos+Prt+0SgObvSubj']"
