wordform,fst_analyses
waabandizokegon,"['waabam+VTA+Reflex/dizo+VAI+Imp+Prb+2PlSubj+2PlObj', 'waabandizo+VAI+Imp+Prb+2PlSubj+2PlObj']"
waabandizoyok,"['waabam+VTA+Reflex/dizo+VAI+Imp+Sim+2PlSubj+2PlObj', 'waabandizo+VAI+Imp+Sim+2PlSubj+2PlObj']"
giwaabandizosiim,"['waabam+VTA+Reflex/dizo+VAI+Ind+Neg+Neu+2PlSubj+2PlObj', 'waabandizo+VAI+Ind+Neg+Neu+2PlSubj+2PlObj']"
giwaabandizom,"['waabam+VTA+Reflex/dizo+VAI+Ind+Pos+Neu+2PlSubj+2PlObj', 'waabandizo+VAI+Ind+Pos+Neu+2PlSubj+2PlObj']"
giwaabandizomwaaban,"['waabam+VTA+Reflex/dizo+VAI+Ind+Pos+Prt+2PlSubj+2PlObj', 'waabandizo+VAI+Ind+Pos+Prt+2PlSubj+2PlObj']"
giwaabandizosiimwaaban,"['waabam+VTA+Reflex/dizo+VAI+Ind+Neg+Prt+2PlSubj+2PlObj', 'waabandizo+VAI+Ind+Neg+Prt+2PlSubj+2PlObj']"
giwaabandizomwaadog,"['waabam+VTA+Reflex/dizo+VAI+Ind+Pos+Dub+2PlSubj+2PlObj', 'waabandizo+VAI+Ind+Pos+Dub+2PlSubj+2PlObj']"
giwaabandizosiimwaadog,"['waabam+VTA+Reflex/dizo+VAI+Ind+Neg+Dub+2PlSubj+2PlObj', 'waabandizo+VAI+Ind+Neg+Dub+2PlSubj+2PlObj']"
waabandizosiwan,"['waabam+VTA+Reflex/dizo+VAI+Cnj+Neg+Neu+2SgSubj+2SgObj', 'waabandizo+VAI+Cnj+Neg+Neu+2SgSubj+2SgObj']"
waabandizoyan,"['waabam+VTA+Reflex/dizo+VAI+Cnj+Pos+Neu+2SgSubj+2SgObj', 'waabandizo+VAI+Cnj+Pos+Neu+2SgSubj+2SgObj']"
waabandizosiiwanen,"['waabam+VTA+Reflex/dizo+VAI+Cnj+Neg+Dub+2SgSubj+2SgObj', 'waabandizo+VAI+Cnj+Neg+Dub+2SgSubj+2SgObj']"
waabandizowanen,"['waabam+VTA+Reflex/dizo+VAI+Cnj+Pos+Dub+2SgSubj+2SgObj', 'waabandizo+VAI+Cnj+Pos+Dub+2SgSubj+2SgObj']"
waabandizosiiwambanen,"['waabam+VTA+Reflex/dizo+VAI+Cnj+Neg+DubPrt+2SgSubj+2SgObj', 'waabandizo+VAI+Cnj+Neg+DubPrt+2SgSubj+2SgObj']"
waabandizowambanen,"['waabam+VTA+Reflex/dizo+VAI+Cnj+Pos+DubPrt+2SgSubj+2SgObj', 'waabandizo+VAI+Cnj+Pos+DubPrt+2SgSubj+2SgObj']"
waabandizosiwamban,"['waabam+VTA+Reflex/dizo+VAI+Cnj+Neg+Prt+2SgSubj+2SgObj', 'waabandizo+VAI+Cnj+Neg+Prt+2SgSubj+2SgObj']"
waabandizoyamban,"['waabam+VTA+Reflex/dizo+VAI+Cnj+Pos+Prt+2SgSubj+2SgObj', 'waabandizo+VAI+Cnj+Pos+Prt+2SgSubj+2SgObj']"
waabandizon,"['waabam+VTA+Reflex/dizo+VAI+Imp+Sim+2SgSubj+2SgObj', 'waabandizo+VAI+Imp+Sim+2SgSubj+2SgObj']"
waabandizoken,"['waabam+VTA+Reflex/dizo+VAI+Imp+Prb+2SgSubj+2SgObj', 'waabandizo+VAI+Imp+Prb+2SgSubj+2SgObj']"
giwaabandizosii,"['waabam+VTA+Reflex/dizo+VAI+Ind+Neg+Neu+2SgSubj+2SgObj', 'waabandizo+VAI+Ind+Neg+Neu+2SgSubj+2SgObj']"
giwaabandiz,"['waabam+VTA+Reflex/dizo+VAI+Ind+Pos+Neu+2SgSubj+2SgObj', 'waabandizo+VAI+Ind+Pos+Neu+2SgSubj+2SgObj']"
giwaabandizonaaban,"['waabam+VTA+Reflex/dizo+VAI+Ind+Pos+Prt+2SgSubj+2SgObj', 'waabandizo+VAI+Ind+Pos+Prt+2SgSubj+2SgObj']"
giwaabandizosiinaaban,"['waabam+VTA+Reflex/dizo+VAI+Ind+Neg+Prt+2SgSubj+2SgObj', 'waabandizo+VAI+Ind+Neg+Prt+2SgSubj+2SgObj']"
giwaabandizonaadog,"['waabam+VTA+Reflex/dizo+VAI+Ind+Pos+Dub+2SgSubj+2SgObj', 'waabandizo+VAI+Ind+Pos+Dub+2SgSubj+2SgObj']"
giwaabandizosiinaadog,"['waabam+VTA+Reflex/dizo+VAI+Ind+Neg+Dub+2SgSubj+2SgObj', 'waabandizo+VAI+Ind+Neg+Dub+2SgSubj+2SgObj']"
waabandizosinid,"['waabam+VTA+Reflex/dizo+VAI+Cnj+Neg+Neu+3PlObvSubj+3PlObvObj', 'waabandizo+VAI+Cnj+Neg+Neu+3PlObvSubj+3PlObvObj', 'waabam+VTA+Reflex/dizo+VAI+Cnj+Neg+Neu+3SgObvSubj+3SgObvObj', 'waabandizo+VAI+Cnj+Neg+Neu+3SgObvSubj+3SgObvObj']"
waabandizonid,"['waabam+VTA+Reflex/dizo+VAI+Cnj+Pos+Neu+3PlObvSubj+3PlObvObj', 'waabandizo+VAI+Cnj+Pos+Neu+3PlObvSubj+3PlObvObj', 'waabam+VTA+Reflex/dizo+VAI+Cnj+Pos+Neu+3SgObvSubj+3SgObvObj', 'waabandizo+VAI+Cnj+Pos+Neu+3SgObvSubj+3SgObvObj']"
