wordform,fst_analyses
madaabiisiwang,"['madaabii+VAI+Cnj+Neg+Neu+InclSubj', 'madaabiin+VAIO+Cnj+Neg+Neu+InclSubj+0PlObj', 'madaabiin+VAIO+Cnj+Neg+Neu+InclSubj+0SgObj']"
madaabiising,"['madaabii+VAI+Cnj+Neg+Neu+XSubj', 'madaabiin+VAIO+Cnj+Neg+Neu+XSubj+0SgObj', 'madaabiin+VAIO+Cnj+Neg+Neu+XSubj+0PlObj']"
madaabiiyaan,"['madaabii+VAI+Cnj+Pos+Neu+1SgSubj', 'madaabiin+VAIO+Cnj+Pos+Neu+1SgSubj+0SgObj', 'madaabiin+VAIO+Cnj+Pos+Neu+1SgSubj+0PlObj']"
madaabiiyeg,"['madaabii+VAI+Cnj+Pos+Neu+2PlSubj', 'madaabiin+VAIO+Cnj+Pos+Neu+2PlSubj+0SgObj', 'madaabiin+VAIO+Cnj+Pos+Neu+2PlSubj+0PlObj']"
madaabiiyan,"['madaabii+VAI+Cnj+Pos+Neu+2SgSubj', 'madaabiin+VAIO+Cnj+Pos+Neu+2SgSubj+0SgObj', 'madaabiin+VAIO+Cnj+Pos+Neu+2SgSubj+0PlObj']"
zaaga'aminid,"[""zaaga'am+VAI+Cnj+Pos+Neu+3PlObvSubj"", ""zaaga'am+VAI+Cnj+Pos+Neu+3SgObvSubj""]"
minongwaaminid,"['minongwaam+VAI+Cnj+Pos+Neu+3PlObvSubj', 'minongwaami+VAI+Cnj+Pos+Neu+3PlObvSubj', 'minongwaam+VAI+Cnj+Pos+Neu+3SgObvSubj', 'minongwaami+VAI+Cnj+Pos+Neu+3SgObvSubj']"
wanishininid,"['wanishin+VAI+Cnj+Pos+Neu+3PlObvSubj', 'wanishin+VAI+Cnj+Pos+Neu+3SgObvSubj']"
nagamonid,"['nagamo+VAI+Cnj+Pos+Neu+3PlObvSubj', 'nagamo+VAI+Cnj+Pos+Neu+3SgObvSubj']"
niiminid,"['niimin+VTA+Cnj+Pos+Neu+3SgProxSubj+1SgObj', 'niimi+VAI+Cnj+Pos+Neu+3PlObvSubj', 'niimi+VAI+Cnj+Pos+Neu+3SgObvSubj']"
maajiibatoonid,"['maajiibatoo+VAI+Cnj+Pos+Neu+3PlObvSubj', 'maajiibatoo+VAI+Cnj+Pos+Neu+3SgObvSubj']"
madaabiinid,"['madaabii+VAI+Cnj+Pos+Neu+3PlObvSubj', 'madaabii+VAI+Cnj+Pos+Neu+3SgObvSubj', 'madaabiin+VAIO+Cnj+Pos+Neu+3PlObvSubj+0SgObj', 'madaabiin+VAIO+Cnj+Pos+Neu+3SgObvSubj+0SgObj', 'madaabiin+VAIO+Cnj+Pos+Neu+3PlObvSubj+0PlObj', 'madaabiin+VAIO+Cnj+Pos+Neu+3SgObvSubj+0PlObj']"
nibaanid,"['nibaa+VAI+Cnj+Pos+Neu+3PlObvSubj', 'nibaa+VAI+Cnj+Pos+Neu+3SgObvSubj']"
webinigenid,"['webinige+VAI+Cnj+Pos+Neu+3PlObvSubj', 'webinige+VAI+Cnj+Pos+Neu+3SgObvSubj']"
madaabiiwaad,"['madaabii+VAI+Cnj+Pos+Neu+3PlProxSubj', 'madaabiin+VAIO+Cnj+Pos+Neu+3PlProxSubj+0SgObj', 'madaabiin+VAIO+Cnj+Pos+Neu+3PlProxSubj+0PlObj']"
