,wordform,fst_analyses
68,omizhogosiiwaadogena',"['mizhwi+VTA+Ind+Neg+Dub+3PlObvSubj+3PlProxObj', 'mizho+VTA+Ind+Neg+Dub+3PlObvSubj+3PlProxObj']"
69,omizhogosiidogena',"['mizhwi+VTA+Ind+Neg+Dub+3PlObvSubj+3SgProxObj', 'mizho+VTA+Ind+Neg+Dub+3PlObvSubj+3SgProxObj']"
70,nimizhogosiidogenag,"['mizhwi+VTA+Ind+Neg+Dub+3PlProxSubj+1SgObj', 'mizho+VTA+Ind+Neg+Dub+3PlProxSubj+1SgObj']"
71,gimizhogosiiwaadogenag,"['mizhwi+VTA+Ind+Neg+Dub+3PlProxSubj+2PlObj', 'mizho+VTA+Ind+Neg+Dub+3PlProxSubj+2PlObj']"
72,gimizhogosiidogenag,"['mizhwi+VTA+Ind+Neg+Dub+3PlProxSubj+2SgObj', 'mizho+VTA+Ind+Neg+Dub+3PlProxSubj+2SgObj']"
73,omizhwaasiwaawaadogena',"['mizhwi+VTA+Ind+Neg+Dub+3PlProxSubj+3PlObvObj', 'mizho+VTA+Ind+Neg+Dub+3PlProxSubj+3PlObvObj']"
74,omikawaasiwaawaadogenan,"['mikaw+VTA+Ind+Neg+Dub+3PlProxSubj+3SgObvObj', 'mikaw+VTA+Ind+Neg+Dub+3PlProxSubj+3PlObvObj']"
75,owaabamaasiwaawaadogenan,"['waabam+VTA+Ind+Neg+Dub+3PlProxSubj+3SgObvObj', 'waabam+VTA+Ind+Neg+Dub+3PlProxSubj+3PlObvObj']"
76,omizhwaasiwaawaadogenan,"['mizhwi+VTA+Ind+Neg+Dub+3PlProxSubj+3SgObvObj', 'mizho+VTA+Ind+Neg+Dub+3PlProxSubj+3SgObvObj', 'mizhwi+VTA+Ind+Neg+Dub+3PlProxSubj+3PlObvObj', 'mizho+VTA+Ind+Neg+Dub+3PlProxSubj+3PlObvObj']"
77,omiinaasiwaawaadogenan,"['miizh+VTA+Ind+Neg+Dub+3PlProxSubj+3SgObvObj', 'miizh+VTA+Ind+Neg+Dub+3PlProxSubj+3PlObvObj']"
78,omawadisaasiwaawaadogenan,"['mawadish+VTA+Ind+Neg+Dub+3PlProxSubj+3SgObvObj', 'mawadish+VTA+Ind+Neg+Dub+3PlProxSubj+3PlObvObj']"
